P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
385461171;WSTRZYMANE;6878652;OLS-PRIM-74;2026-03-30;Olej przekladniowy;25;14;142;20
385461171;WSTRZYMANE;6878652;OLS-PRIM-74;2026-03-30;Olej przekladniowy;25;11;142;20
681812744;WSTRZYMANE;5586359;RUD-790X;2026-03-30;Wentylator chlodnicy;9;9;1;20
590917304;PRZEKIEROWANE;5586359;RUD-790X;2026-03-30;Przepustnica;26;26;1;20
927547643;ZAWIESZONE;5586359;RUD-790X;2026-03-30;Szyba boczna;18;18;1;20
573538321;WYSLANE;5586359;RUD-790X;2026-03-30;Szyba boczna;18;18;1;20
120127054;PRZEKIEROWANE;5586359;RUD-790X;2026-03-30;Pompa hamulcowa;17;17;1;20
824980419;ZAWIESZONE;5586359;RUD-790X;2026-03-30;Deska rozdzielcza;16;16;1;20
697811251;ZAWIESZONE;5586359;RUD-790X;2026-03-30;Serwo hamulcowe;28;28;1;20
348205935;ZAFAKTUROWANE;5586359;RUD-790X;2026-03-30;Olej silnikowy 5W30;27;27;1;20
391745568;PRZEKIEROWANE;5586359;RUD-790X;2026-03-30;Chlodnica wody;12;4;1;20
391745568;PRZEKIEROWANE;5586359;RUD-790X;2026-03-30;Chlodnica wody;12;8;1;20
299095574;NIEZREALIZOWANE;5586359;RUD-790X;2026-03-30;Rozrusznik;30;30;1;20
260926298;ZAFAKTUROWANE;5586359;RUD-790X;2026-03-30;Kierownica;15;15;1;20
206478299;PRZEKIEROWANE;5586359;RUD-790X;2026-03-30;Lampa tylna prawa;12;12;1;20
430623729;NIEZREALIZOWANE;5586359;RUD-790X;2026-03-30;Chlodnica klimatyzacji;9;9;1;20
453001960;PRZYDZIELONE;5586359;RUD-790X;2026-03-30;Pasek wieloklinowy;22;22;1;20
453045110;WYSLANE;5586359;RUD-790X;2026-03-30;Walek rozrzadu;5;4;1;20
453045110;WYSLANE;5586359;RUD-790X;2026-03-30;Walek rozrzadu;5;1;1;20
675006843;ZAWIESZONE;5586359;RUD-790X;2026-03-30;Maska silnika;5;4;1;20
675006843;ZAWIESZONE;5586359;RUD-790X;2026-03-30;Maska silnika;5;1;1;20
686589303;WSTRZYMANE;5586359;RUD-790X;2026-03-30;Kolektor wydechowy;15;7;1;20
686589303;WSTRZYMANE;5586359;RUD-790X;2026-03-30;Kolektor wydechowy;15;8;1;20
239680711;ZAFAKTUROWANE;5586359;RUD-790X;2026-03-30;Katalizator;3;3;1;20
836053811;WSTRZYMANE;5810107;RUD-ASO-50;2026-03-30;Silniczek krokowy;24;24;1;10
173471957;WSTRZYMANE;5810107;RUD-ASO-50;2026-03-30;Przekaznik pompy;21;21;1;10
749631470;PRZEKIEROWANE;5810107;RUD-ASO-50;2026-03-30;Beben hamulcowy;9;8;1;10
749631470;PRZEKIEROWANE;5810107;RUD-ASO-50;2026-03-30;Beben hamulcowy;9;1;1;10
507860824;ZAWIESZONE;6001188;SUW-946Y;2026-03-30;Filtr oleju;14;14;146;10
229519408;ZAFAKTUROWANE;3293623;OLS-PRIM-41;2026-03-30;Pioro wycieraczki przod;5;5;142;10
437087308;PRZYDZIELONE;3293623;OLS-PRIM-41;2026-03-30;Rolka napinacza;10;10;142;10
819805579;PRZYDZIELONE;3293623;OLS-PRIM-41;2026-03-30;Pompa wspomagania;8;8;142;10
62969284;ZAFAKTUROWANE;5690600;SUW-PRIM-56;2026-03-30;Wentylator chlodnicy;8;8;146;10
986234887;WSTRZYMANE;2624255;KRA-69@;2026-03-30;Silnik kompletny;13;13;7;10
236706312;NIEZREALIZOWANE;7705932;WAR-PRIM-54;2026-03-30;Czujnik ABS;5;5;10;10
269963851;WSTRZYMANE;7705932;WAR-PRIM-54;2026-03-30;Bezpiecznik glowny;17;17;10;10
950756571;PRZYDZIELONE;4737915;BIA-PRIM-81;2026-03-30;Pioro wycieraczki przod;28;27;6;20
950756571;PRZYDZIELONE;4737915;BIA-PRIM-81;2026-03-30;Pioro wycieraczki przod;28;1;6;20
363026614;ZAFAKTUROWANE;4737915;BIA-PRIM-81;2026-03-30;Blok silnika;23;17;6;20
363026614;ZAFAKTUROWANE;4737915;BIA-PRIM-81;2026-03-30;Blok silnika;23;6;6;20
85685980;WSTRZYMANE;4737915;BIA-PRIM-81;2026-03-30;Plyn chlodniczy;15;15;6;20
286675249;ZAFAKTUROWANE;4737915;BIA-PRIM-81;2026-03-30;Lampa tylna lewa;8;8;6;20
166954844;PRZYDZIELONE;5196550;SUW-80@;2026-03-30;Polos napedowa;29;29;146;10
406929288;WSTRZYMANE;5196550;SUW-80@;2026-03-30;Silnik kompletny;21;18;146;10
406929288;WSTRZYMANE;5196550;SUW-80@;2026-03-30;Silnik kompletny;21;3;146;10
453001960;PRZEKIEROWANE;5196550;SUW-80@;2026-03-30;Pasek wieloklinowy;2;2;146;10
101291557;ZAWIESZONE;7720994;LUB-PRIM-87;2026-03-30;Przepustnica;10;10;4;10
264824270;PRZEKIEROWANE;7720994;LUB-PRIM-87;2026-03-30;Zamek drzwi;3;3;4;10
401496939;NIEZREALIZOWANE;7720994;LUB-PRIM-87;2026-03-30;Fotel kierowcy;15;6;4;10
401496939;NIEZREALIZOWANE;7720994;LUB-PRIM-87;2026-03-30;Fotel kierowcy;15;9;4;10
385461171;PRZYDZIELONE;7720994;LUB-PRIM-87;2026-03-30;Olej przekladniowy;21;21;4;10
453001960;WYSLANE;2295817;KRA-54@;2026-03-30;Pasek wieloklinowy;14;14;7;10
365270635;PRZEKIEROWANE;2295817;KRA-54@;2026-03-30;Kolektor wydechowy;6;2;7;10
365270635;PRZEKIEROWANE;2295817;KRA-54@;2026-03-30;Kolektor wydechowy;6;4;7;10
686589303;PRZYDZIELONE;2295817;KRA-54@;2026-03-30;Kolektor wydechowy;6;6;7;10
941002571;PRZYDZIELONE;2295817;KRA-54@;2026-03-30;Halogen przeciwmgielny;23;6;7;10
941002571;PRZYDZIELONE;2295817;KRA-54@;2026-03-30;Halogen przeciwmgielny;23;17;7;10
3494630;PRZYDZIELONE;4492926;RUD-40@;2026-03-30;Szyba czolowa;25;25;1;10
401496939;ZAWIESZONE;4492926;RUD-40@;2026-03-30;Fotel kierowcy;12;12;1;10
298481886;ZAFAKTUROWANE;5182567;BIA-PRIM-74;2026-03-30;Alternator;13;13;6;10
496358124;WYSLANE;6676627;109-9738;2026-03-30;Zacisk hamulcowy przod;19;19;7;10
940449931;ZAWIESZONE;6164804;BIA-PRIM-61;2026-03-30;Szyba czolowa;11;11;6;20
62969284;PRZEKIEROWANE;2588282;RUD-917Y;2026-03-30;Wentylator chlodnicy;20;20;1;10
994851203;ZAWIESZONE;2588282;RUD-917Y;2026-03-30;Kierownica;15;15;1;10
806258900;WSTRZYMANE;2588282;RUD-917Y;2026-03-30;Wahacz poprzeczny;30;30;1;10
686589303;PRZYDZIELONE;2588282;RUD-917Y;2026-03-30;Kolektor wydechowy;1;1;1;10
903745581;WSTRZYMANE;2588282;RUD-917Y;2026-03-30;Drzwi przednie lewe;8;2;1;10
903745581;WSTRZYMANE;2588282;RUD-917Y;2026-03-30;Drzwi przednie lewe;8;6;1;10
710036086;PRZYDZIELONE;5691881;BIA-25@;2026-03-30;Wal napedowy;14;14;6;10
241276931;ZAWIESZONE;5691881;BIA-25@;2026-03-30;Pompa oleju;2;2;6;10
76092500;WSTRZYMANE;5123059;OLS-17@;2026-03-30;Czujnik temperatury;30;30;142;20
123008994;WYSLANE;3294052;LUB-80@;2026-03-30;Reflektor lewy LED;12;12;4;20
997423271;PRZEKIEROWANE;3294052;LUB-80@;2026-03-30;Przekaznik pompy;18;18;4;20
924265163;PRZEKIEROWANE;3294052;LUB-80@;2026-03-30;Glowica silnika;28;28;4;20
299095574;NIEZREALIZOWANE;3294052;LUB-80@;2026-03-30;Rozrusznik;17;17;4;20
234770738;WSTRZYMANE;4999650;WAR-PRIM-13;2026-03-30;Wal napedowy;17;17;10;10
235503870;WSTRZYMANE;4999650;WAR-PRIM-13;2026-03-30;Katalizator;6;6;10;10
268237631;WYSLANE;4999650;WAR-PRIM-13;2026-03-30;Pioro wycieraczki tyl;4;4;10;10
224966459;WSTRZYMANE;4999650;WAR-PRIM-13;2026-03-30;Lusterko zewnetrzne lewe;29;20;10;10
224966459;WSTRZYMANE;4999650;WAR-PRIM-13;2026-03-30;Lusterko zewnetrzne lewe;29;9;10;10
3494630;WSTRZYMANE;7656931;BIA-PRIM-49;2026-03-30;Szyba czolowa;10;10;6;10
571998889;PRZEKIEROWANE;7656931;BIA-PRIM-49;2026-03-30;Kanapa tylna;11;11;6;10
32004523;WSTRZYMANE;7656931;BIA-PRIM-49;2026-03-30;Pompa paliwa;16;16;6;10
430757414;PRZYDZIELONE;6690325;OLS-ASO-60;2026-03-30;Wahacz poprzeczny;30;30;142;10
50600821;ZAFAKTUROWANE;3840964;LUB-10MOT;2026-03-30;Pioro wycieraczki przod;2;2;4;10
