P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
475818013;ZAFAKTUROWANE;1832497;SUW-778Y;2026-03-22;Filtr oleju;7;7;146;10
740749735;PRZYDZIELONE;1832497;SUW-778Y;2026-03-22;Sprzeglo dwumasowe;7;7;146;10
590357116;PRZYDZIELONE;1832497;SUW-778Y;2026-03-22;Wentylator chlodnicy;20;20;146;10
824980419;PRZYDZIELONE;1832497;SUW-778Y;2026-03-22;Deska rozdzielcza;22;22;146;10
718319417;ZAFAKTUROWANE;1832497;SUW-778Y;2026-03-22;Przewody zaplonowe;26;26;146;10
542631108;ZAWIESZONE;1832497;SUW-778Y;2026-03-22;Blotnik lewy;16;3;146;10
542631108;ZAWIESZONE;1832497;SUW-778Y;2026-03-22;Blotnik lewy;16;13;146;10
262873730;ZAFAKTUROWANE;1832497;SUW-778Y;2026-03-22;Chlodnica wody;19;19;146;10
314807776;PRZEKIEROWANE;1832497;SUW-778Y;2026-03-22;Filtr paliwa;9;9;146;10
76238245;WSTRZYMANE;6831297;LUB-36@;2026-03-22;Lampa tylna prawa;1;1;4;10
453300810;WYSLANE;3173891;WAR-PRIM-24;2026-03-22;Zderzak tylny;12;12;10;10
502574736;ZAWIESZONE;3173891;WAR-PRIM-24;2026-03-22;Silniczek krokowy;23;9;10;10
502574736;ZAWIESZONE;3173891;WAR-PRIM-24;2026-03-22;Silniczek krokowy;23;14;10;10
749631470;PRZYDZIELONE;3173891;WAR-PRIM-24;2026-03-22;Beben hamulcowy;27;27;10;10
521463189;NIEZREALIZOWANE;3746516;BIA-31@;2026-03-22;Akumulator AGM;29;29;6;10
204245259;ZAWIESZONE;3746516;BIA-31@;2026-03-22;Wlacznik swiatel;23;23;6;10
268237631;PRZYDZIELONE;3746516;BIA-31@;2026-03-22;Pioro wycieraczki tyl;16;9;6;10
268237631;PRZYDZIELONE;3746516;BIA-31@;2026-03-22;Pioro wycieraczki tyl;16;7;6;10
437087308;WYSLANE;3746516;BIA-31@;2026-03-22;Rolka napinacza;29;29;6;10
718319417;WYSLANE;6979379;LUB-PRIM-17;2026-03-22;Przewody zaplonowe;24;11;4;10
718319417;WYSLANE;6979379;LUB-PRIM-17;2026-03-22;Przewody zaplonowe;24;13;4;10
298481886;WSTRZYMANE;6979379;LUB-PRIM-17;2026-03-22;Alternator;5;5;4;10
241276931;ZAFAKTUROWANE;6979379;LUB-PRIM-17;2026-03-22;Pompa oleju;8;5;4;10
241276931;ZAFAKTUROWANE;6979379;LUB-PRIM-17;2026-03-22;Pompa oleju;8;3;4;10
