P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
105685387;WYSLANE;9412390;KRA-PRIM-99;2026-03-03;Miska olejowa;19;19;7;10
428863029;PRZEKIEROWANE;9412390;KRA-PRIM-99;2026-03-03;Pompa hamulcowa;27;27;7;10
241276931;PRZYDZIELONE;9412390;KRA-PRIM-99;2026-03-03;Pompa oleju;18;18;7;10
677651645;NIEZREALIZOWANE;2813043;OLS-PRIM-86;2026-03-03;Miska olejowa;23;21;142;10
677651645;NIEZREALIZOWANE;2813043;OLS-PRIM-86;2026-03-03;Miska olejowa;23;2;142;10
733963718;PRZEKIEROWANE;2813043;OLS-PRIM-86;2026-03-03;Drzwi przednie prawe;7;5;142;10
733963718;PRZEKIEROWANE;2813043;OLS-PRIM-86;2026-03-03;Drzwi przednie prawe;7;2;142;10
819805579;ZAWIESZONE;5356130;OLS-993X;2026-03-03;Pompa wspomagania;11;11;142;10
671420971;ZAWIESZONE;5356130;OLS-993X;2026-03-03;Lacznik stabilizatora;1;1;142;10
315153362;ZAWIESZONE;5356130;OLS-993X;2026-03-03;Plyn hamulcowy;22;22;142;10
32004523;WSTRZYMANE;5356130;OLS-993X;2026-03-03;Pompa paliwa;21;21;142;10
76677861;ZAFAKTUROWANE;5356130;OLS-993X;2026-03-03;Blotnik lewy;27;27;142;10
496358124;NIEZREALIZOWANE;5356130;OLS-993X;2026-03-03;Zacisk hamulcowy przod;23;23;142;10
882413818;ZAWIESZONE;5356130;OLS-993X;2026-03-03;Walek rozrzadu;27;27;142;10
363026614;ZAFAKTUROWANE;5356130;OLS-993X;2026-03-03;Blok silnika;25;25;142;10
986234887;WYSLANE;5356130;OLS-993X;2026-03-03;Silnik kompletny;6;2;142;10
986234887;WYSLANE;5356130;OLS-993X;2026-03-03;Silnik kompletny;6;4;142;10
364333393;PRZYDZIELONE;5356130;OLS-993X;2026-03-03;Pasy bezpieczenstwa;15;15;142;10
