P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
903745581;ZAFAKTUROWANE;1124416;SUW-PRIM-57;2026-03-09;Drzwi przednie lewe;10;10;146;20
428424718;NIEZREALIZOWANE;1124416;SUW-PRIM-57;2026-03-09;Lusterko zewnetrzne lewe;18;18;146;20
97623238;WYSLANE;1124416;SUW-PRIM-57;2026-03-09;Klamka zewnetrzna;5;4;146;20
97623238;WYSLANE;1124416;SUW-PRIM-57;2026-03-09;Klamka zewnetrzna;5;1;146;20
60072915;WYSLANE;1124416;SUW-PRIM-57;2026-03-09;Wal napedowy;21;21;146;20
430757414;ZAWIESZONE;7559883;RUD-75@;2026-03-09;Wahacz poprzeczny;30;30;1;10
247093812;PRZYDZIELONE;7559883;RUD-75@;2026-03-09;Zderzak przedni;16;16;1;10
337892805;ZAWIESZONE;4281801;WAR-37@;2026-03-09;Polos napedowa;10;10;10;10
74326370;WSTRZYMANE;4281801;WAR-37@;2026-03-09;Fotel kierowcy;9;9;10;10
142078763;WSTRZYMANE;4281801;WAR-37@;2026-03-09;Szyba czolowa;15;15;10;10
284037113;WSTRZYMANE;4281801;WAR-37@;2026-03-09;Filtr oleju;2;2;10;10
295320485;NIEZREALIZOWANE;7160389;KRA-77@;2026-03-09;Amortyzator tyl;17;17;7;10
432321310;NIEZREALIZOWANE;7160389;KRA-77@;2026-03-09;Szyba boczna;2;2;7;10
401496939;WYSLANE;7160389;KRA-77@;2026-03-09;Fotel kierowcy;6;6;7;10
260926298;ZAFAKTUROWANE;7160389;KRA-77@;2026-03-09;Kierownica;20;20;7;10
85685980;PRZYDZIELONE;4710126;BIA-PRIM-17;2026-03-09;Plyn chlodniczy;13;13;6;20
76677861;PRZYDZIELONE;4710126;BIA-PRIM-17;2026-03-09;Blotnik lewy;20;20;6;20
765533129;ZAFAKTUROWANE;4710126;BIA-PRIM-17;2026-03-09;Guma stabilizatora;1;1;6;20
936777846;PRZEKIEROWANE;4710126;BIA-PRIM-17;2026-03-09;Blotnik lewy;25;25;6;20
524646385;NIEZREALIZOWANE;7751188;WAR-PRIM-54;2026-03-09;Blok silnika;30;30;10;20
247093812;PRZEKIEROWANE;7751188;WAR-PRIM-54;2026-03-09;Zderzak przedni;1;1;10;20
58175865;ZAFAKTUROWANE;7751188;WAR-PRIM-54;2026-03-09;Lusterko zewnetrzne prawe;9;9;10;20
