P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
986234887;WYSLANE;4954027;KRA-PARTEX-81;2026-02-19;Silnik kompletny;25;25;7;10
173471957;ZAFAKTUROWANE;4954027;KRA-PARTEX-81;2026-02-19;Przekaznik pompy;27;27;7;10
134041070;ZAFAKTUROWANE;4954027;KRA-PARTEX-81;2026-02-19;Zacisk hamulcowy przod;1;1;7;10
524646385;PRZEKIEROWANE;1460719;SUW-PRIM-91;2026-02-19;Blok silnika;4;4;146;20
502574736;ZAFAKTUROWANE;6544094;LUB-PRIM-65;2026-02-19;Silniczek krokowy;24;24;4;10
84621066;ZAFAKTUROWANE;6544094;LUB-PRIM-65;2026-02-19;Bezpiecznik glowny;9;4;4;10
84621066;ZAFAKTUROWANE;6544094;LUB-PRIM-65;2026-02-19;Bezpiecznik glowny;9;5;4;10
710036086;PRZEKIEROWANE;6544094;LUB-PRIM-65;2026-02-19;Wal napedowy;9;9;4;10
407953839;NIEZREALIZOWANE;6544094;LUB-PRIM-65;2026-02-19;Przepustnica;6;4;4;10
407953839;NIEZREALIZOWANE;6544094;LUB-PRIM-65;2026-02-19;Przepustnica;6;2;4;10
76677861;ZAWIESZONE;7739804;109-3964;2026-02-19;Blotnik lewy;30;30;1;10
93359856;NIEZREALIZOWANE;9623480;KRA-73@;2026-02-19;Zderzak przedni;22;22;7;10
924265163;PRZYDZIELONE;4330125;OLS-11@;2026-02-19;Glowica silnika;20;20;142;10
609204872;WYSLANE;4330125;OLS-11@;2026-02-19;Wtryskiwacz paliwa;29;29;142;10
790789946;ZAFAKTUROWANE;2406559;109-2134;2026-02-19;Kolektor ssacy;14;14;7;10
496358124;ZAWIESZONE;6492185;WAR-655Y;2026-02-19;Zacisk hamulcowy przod;20;20;10;20
981997993;NIEZREALIZOWANE;4427462;RUD-PRIM-76;2026-02-19;Drzwi przednie prawe;11;11;1;10
707587342;WYSLANE;4427462;RUD-PRIM-76;2026-02-19;Plyn hamulcowy;23;23;1;10
936777846;ZAFAKTUROWANE;4427462;RUD-PRIM-76;2026-02-19;Blotnik lewy;12;12;1;10
673725057;WYSLANE;4427462;RUD-PRIM-76;2026-02-19;Chlodnica wody;10;10;1;10
972197337;ZAWIESZONE;8849718;OLS-PRIM-34;2026-02-19;Walek rozrzadu;30;19;142;10
