P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
101291557;WSTRZYMANE;1320157;MAG-68@;2026-03-13;Przepustnica;13;13;150;20
492698426;ZAWIESZONE;1320157;MAG-68@;2026-03-13;Filtr DPF;17;17;150;20
432321310;NIEZREALIZOWANE;1320157;MAG-68@;2026-03-13;Szyba boczna;10;10;150;20
730458745;NIEZREALIZOWANE;1320157;MAG-68@;2026-03-13;Szyba czolowa;26;26;150;20
524646385;PRZYDZIELONE;5074965;PAR-20@;2026-03-13;Blok silnika;10;10;11;10
810969828;WSTRZYMANE;2614764;ASO-434X;2026-03-13;Szyba boczna;9;9;2;10
235819993;ZAFAKTUROWANE;2614764;ASO-434X;2026-03-13;Reflektor lewy LED;20;19;2;10
235819993;ZAFAKTUROWANE;2614764;ASO-434X;2026-03-13;Reflektor lewy LED;20;1;2;10
409770584;ZAFAKTUROWANE;2614764;ASO-434X;2026-03-13;Zderzak tylny;9;9;2;10
618712544;WSTRZYMANE;2614764;ASO-434X;2026-03-13;Akumulator 12V;18;18;2;10
315153362;WYSLANE;6731666;ASO-16@;2026-03-13;Plyn hamulcowy;20;6;2;20
315153362;WYSLANE;6731666;ASO-16@;2026-03-13;Plyn hamulcowy;20;14;2;20
284037113;ZAFAKTUROWANE;6731666;ASO-16@;2026-03-13;Filtr oleju;16;16;2;20
936777846;ZAWIESZONE;9381292;VCA-38@;2026-03-13;Blotnik lewy;23;23;126;10
943530428;PRZYDZIELONE;3541398;109-7750;2026-03-13;Filtr paliwa;13;11;104;10
943530428;PRZYDZIELONE;3541398;109-7750;2026-03-13;Filtr paliwa;13;2;104;10
994851203;PRZEKIEROWANE;3541398;109-7750;2026-03-13;Kierownica;24;24;104;10
267002705;WYSLANE;3541398;109-7750;2026-03-13;Rolka napinacza;27;27;104;10
682570971;PRZYDZIELONE;8588532;WRO-81@;2026-03-13;Filtr paliwa;5;5;104;10
284037113;NIEZREALIZOWANE;9795191;PAR-PRIM-51;2026-03-13;Filtr oleju;4;4;11;10
481705135;WSTRZYMANE;9795191;PAR-PRIM-51;2026-03-13;Katalizator;28;28;11;10
707587342;ZAWIESZONE;9795191;PAR-PRIM-51;2026-03-13;Plyn hamulcowy;4;4;11;10
84621066;WYSLANE;2915579;PAR-PRIM-43;2026-03-13;Bezpiecznik glowny;5;1;11;10
84621066;WYSLANE;2915579;PAR-PRIM-43;2026-03-13;Bezpiecznik glowny;5;4;11;10
940449931;WYSLANE;8668157;PAR-40MOT;2026-03-13;Szyba czolowa;11;10;11;10
940449931;WYSLANE;8668157;PAR-40MOT;2026-03-13;Szyba czolowa;11;1;11;10
428424718;ZAWIESZONE;8668157;PAR-40MOT;2026-03-13;Lusterko zewnetrzne lewe;22;22;11;10
407953839;ZAWIESZONE;8668157;PAR-40MOT;2026-03-13;Przepustnica;21;21;11;10
428863029;WYSLANE;5812142;ASO-93@;2026-03-13;Pompa hamulcowa;8;8;2;10
547109690;NIEZREALIZOWANE;5812142;ASO-93@;2026-03-13;Modul zaplonowy;8;8;2;10
123008994;ZAWIESZONE;5812142;ASO-93@;2026-03-13;Reflektor lewy LED;26;26;2;10
241276931;PRZYDZIELONE;5812142;ASO-93@;2026-03-13;Pompa oleju;3;3;2;10
391745568;NIEZREALIZOWANE;7380153;ASO-444X;2026-03-13;Chlodnica wody;30;30;2;10
682570971;ZAWIESZONE;1701404;VCA-90@;2026-03-13;Filtr paliwa;5;5;126;10
818160683;WYSLANE;1701404;VCA-90@;2026-03-13;Termostat;16;10;126;10
818160683;WYSLANE;1701404;VCA-90@;2026-03-13;Termostat;16;6;126;10
738918273;WSTRZYMANE;2917721;MAG-46@;2026-03-13;Wiazka elektryczna;9;9;150;10
673725057;PRZYDZIELONE;2917721;MAG-46@;2026-03-13;Chlodnica wody;17;17;150;10
