P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
247093812;WSTRZYMANE;3804755;MAG-44@;2026-02-14;Zderzak przedni;15;15;150;20
819805579;ZAWIESZONE;3804755;MAG-44@;2026-02-14;Pompa wspomagania;15;15;150;20
169830594;WSTRZYMANE;4341962;POZ-27@;2026-02-14;Alternator;1;1;1;10
492698426;ZAWIESZONE;4341962;POZ-27@;2026-02-14;Filtr DPF;12;12;1;10
671420971;WSTRZYMANE;5819732;POZ-90@;2026-02-14;Lacznik stabilizatora;16;16;1;10
924265163;WYSLANE;5819732;POZ-90@;2026-02-14;Glowica silnika;8;8;1;10
236706312;WYSLANE;5819732;POZ-90@;2026-02-14;Czujnik ABS;5;5;1;10
521838280;WSTRZYMANE;5819732;POZ-90@;2026-02-14;Filtr kabinowy;11;11;1;10
142078763;WYSLANE;5910438;PAR-PRIM-85;2026-02-14;Szyba czolowa;1;1;11;20
686589303;WYSLANE;5910438;PAR-PRIM-85;2026-02-14;Kolektor wydechowy;6;6;11;20
262873730;WYSLANE;5910438;PAR-PRIM-85;2026-02-14;Chlodnica wody;17;17;11;20
972197337;NIEZREALIZOWANE;4378276;VCA-57@;2026-02-14;Walek rozrzadu;14;14;126;10
282126655;ZAFAKTUROWANE;1890394;SOS-PRIM-88;2026-02-14;Zamek drzwi;4;4;138;10
964039981;WSTRZYMANE;1890394;SOS-PRIM-88;2026-02-14;Cewka zaplonowa;5;5;138;10
282821832;PRZEKIEROWANE;1890394;SOS-PRIM-88;2026-02-14;Czujnik polozenia walu;2;2;138;10
730458745;NIEZREALIZOWANE;1890394;SOS-PRIM-88;2026-02-14;Szyba czolowa;17;17;138;10
97623238;ZAWIESZONE;5660838;NT-9787;2026-02-14;Klamka zewnetrzna;21;20;104;10
97623238;ZAWIESZONE;5660838;NT-9787;2026-02-14;Klamka zewnetrzna;21;1;104;10
62969284;NIEZREALIZOWANE;5660838;NT-9787;2026-02-14;Wentylator chlodnicy;22;18;104;10
62969284;NIEZREALIZOWANE;5660838;NT-9787;2026-02-14;Wentylator chlodnicy;22;4;104;10
234770738;WYSLANE;5660838;NT-9787;2026-02-14;Wal napedowy;1;1;104;10
50600821;ZAFAKTUROWANE;5593966;PAR-153Y;2026-02-14;Pioro wycieraczki przod;30;30;11;20
314807776;ZAFAKTUROWANE;1845505;INT-ASO;2026-02-14;Filtr paliwa;19;19;2;10
432321310;NIEZREALIZOWANE;1845505;INT-ASO;2026-02-14;Szyba boczna;17;17;2;10
74694276;NIEZREALIZOWANE;1845505;INT-ASO;2026-02-14;Tlok silnika;23;23;2;10
947461608;ZAWIESZONE;9164352;WRO-39@;2026-02-14;Swieca zarowa;5;5;104;10
545108869;WSTRZYMANE;9164352;WRO-39@;2026-02-14;Blotnik lewy;7;2;104;10
545108869;WSTRZYMANE;9164352;WRO-39@;2026-02-14;Blotnik lewy;7;5;104;10
397488786;WSTRZYMANE;9164352;WRO-39@;2026-02-14;Lozysko kola;25;25;104;10
810969828;PRZYDZIELONE;7042490;109-5681;2026-02-14;Szyba boczna;12;12;138;10
46664552;PRZEKIEROWANE;7042490;109-5681;2026-02-14;Szyba boczna;12;6;138;10
46664552;PRZEKIEROWANE;7042490;109-5681;2026-02-14;Szyba boczna;12;6;138;10
957980516;WYSLANE;7042490;109-5681;2026-02-14;Przekaznik pompy;16;16;138;10
249967310;PRZEKIEROWANE;5500077;WRO-PRIM-17;2026-02-14;Pioro wycieraczki przod;25;25;104;10
936777846;ZAWIESZONE;5500077;WRO-PRIM-17;2026-02-14;Blotnik lewy;17;17;104;10
701652483;ZAWIESZONE;7449110;SOS-639Y;2026-02-14;Drzwi przednie prawe;4;4;138;10
314807776;PRZYDZIELONE;7449110;SOS-639Y;2026-02-14;Filtr paliwa;27;27;138;10
123008994;WYSLANE;7449110;SOS-639Y;2026-02-14;Reflektor lewy LED;6;6;138;10
105685387;WYSLANE;7449110;SOS-639Y;2026-02-14;Miska olejowa;6;6;138;10
15856122;WYSLANE;7741381;POZ-467Y;2026-02-14;Pompa paliwa;7;5;1;10
15856122;WYSLANE;7741381;POZ-467Y;2026-02-14;Pompa paliwa;7;2;1;10
54328806;PRZYDZIELONE;2342448;ASO-PRIM-36;2026-02-14;Drzwi tylne lewe;17;17;2;10
314807776;ZAWIESZONE;7803325;SOS-66@;2026-02-14;Filtr paliwa;19;19;138;10
380434119;WYSLANE;5886570;VCA-44@;2026-02-14;Beben hamulcowy;4;4;126;10
245834373;PRZEKIEROWANE;5886570;VCA-44@;2026-02-14;Pompa oleju;2;2;126;10
941002571;ZAWIESZONE;3622511;VCA-24@;2026-02-14;Halogen przeciwmgielny;25;25;126;10
824980419;ZAFAKTUROWANE;3622511;VCA-24@;2026-02-14;Deska rozdzielcza;21;21;126;10
71079472;WSTRZYMANE;3622511;VCA-24@;2026-02-14;Polos napedowa;27;27;126;10
749631470;PRZYDZIELONE;3622511;VCA-24@;2026-02-14;Beben hamulcowy;28;28;126;10
365351213;ZAFAKTUROWANE;7271234;POZ-61@;2026-02-14;Wahacz wzdluzny;3;3;1;10
236466621;NIEZREALIZOWANE;7271234;POZ-61@;2026-02-14;Silnik kompletny;8;8;1;10
950756571;NIEZREALIZOWANE;1454765;WRO-PRIM-11;2026-02-14;Pioro wycieraczki przod;11;11;104;10
502574736;WYSLANE;1454765;WRO-PRIM-11;2026-02-14;Silniczek krokowy;12;12;104;10
475818013;WYSLANE;4037524;POZ-51@;2026-02-14;Filtr oleju;28;28;1;20
430623729;ZAFAKTUROWANE;4037524;POZ-51@;2026-02-14;Chlodnica klimatyzacji;19;19;1;20
264824270;ZAWIESZONE;4037524;POZ-51@;2026-02-14;Zamek drzwi;20;20;1;20
675006843;PRZEKIEROWANE;4037524;POZ-51@;2026-02-14;Maska silnika;26;26;1;20
289864268;WYSLANE;2452023;POZ-PRIM-12;2026-02-14;Drzwi przednie lewe;22;22;1;10
268237631;PRZYDZIELONE;6113519;ASO-43@;2026-02-14;Pioro wycieraczki tyl;23;23;2;20
117744861;WYSLANE;6113519;ASO-43@;2026-02-14;Sonda lambda;28;13;2;20
117744861;WYSLANE;6113519;ASO-43@;2026-02-14;Sonda lambda;28;15;2;20
3494630;NIEZREALIZOWANE;6113519;ASO-43@;2026-02-14;Szyba czolowa;8;3;2;20
3494630;NIEZREALIZOWANE;6113519;ASO-43@;2026-02-14;Szyba czolowa;8;5;2;20
32004523;ZAFAKTUROWANE;6113519;ASO-43@;2026-02-14;Pompa paliwa;19;19;2;20
262873730;WSTRZYMANE;3813307;ASO-IC-91;2026-02-14;Chlodnica wody;13;8;2;10
262873730;WSTRZYMANE;3813307;ASO-IC-91;2026-02-14;Chlodnica wody;13;5;2;10
247093812;WYSLANE;3813307;ASO-IC-91;2026-02-14;Zderzak przedni;19;19;2;10
903745581;PRZEKIEROWANE;3813307;ASO-IC-91;2026-02-14;Drzwi przednie lewe;3;3;2;10
818160683;PRZYDZIELONE;2605097;PAR-PRIM-68;2026-02-14;Termostat;28;28;11;10
585136461;WSTRZYMANE;9937962;PAR-PRIM-18;2026-02-14;Szczeki hamulcowe;8;8;11;10
924876553;WYSLANE;9937962;PAR-PRIM-18;2026-02-14;Plyn chlodniczy;9;9;11;10
980482440;ZAFAKTUROWANE;6561834;POZ-PRIM-50;2026-02-14;Swieca zaplonowa;22;22;1;20
997423271;WYSLANE;6561834;POZ-PRIM-50;2026-02-14;Przekaznik pompy;19;19;1;20
