P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
740749735;WYSLANE;5432257;MAG-PRIM-41;2026-03-23;Sprzeglo dwumasowe;10;10;150;10
681812744;WSTRZYMANE;5432257;MAG-PRIM-41;2026-03-23;Wentylator chlodnicy;3;3;150;10
925223847;PRZYDZIELONE;5432257;MAG-PRIM-41;2026-03-23;Kolektor ssacy;17;7;150;10
925223847;PRZYDZIELONE;5432257;MAG-PRIM-41;2026-03-23;Kolektor ssacy;17;10;150;10
675006843;PRZEKIEROWANE;5432257;MAG-PRIM-41;2026-03-23;Maska silnika;22;22;150;10
407953839;WSTRZYMANE;8056635;MAG-PRIM-10;2026-03-23;Przepustnica;14;14;150;10
671420971;PRZYDZIELONE;8056635;MAG-PRIM-10;2026-03-23;Lacznik stabilizatora;10;10;150;10
740749735;ZAWIESZONE;8056635;MAG-PRIM-10;2026-03-23;Sprzeglo dwumasowe;23;23;150;10
475818013;ZAWIESZONE;8382489;ASO-PRIM-94;2026-03-23;Filtr oleju;26;26;2;20
866277851;ZAFAKTUROWANE;8382489;ASO-PRIM-94;2026-03-23;Guma stabilizatora;25;25;2;20
135044324;WSTRZYMANE;5140894;POZ-PRIM-74;2026-03-23;Tlumik srodkowy;21;21;1;10
84621066;WSTRZYMANE;5140894;POZ-PRIM-74;2026-03-23;Bezpiecznik glowny;16;16;1;10
129937269;WSTRZYMANE;5140894;POZ-PRIM-74;2026-03-23;Amortyzator tyl;5;4;1;10
129937269;WSTRZYMANE;5140894;POZ-PRIM-74;2026-03-23;Amortyzator tyl;5;1;1;10
213589170;ZAWIESZONE;5140894;POZ-PRIM-74;2026-03-23;Sonda lambda;22;22;1;10
869129330;ZAWIESZONE;1067462;WRO-PRIM-82;2026-03-23;Pioro wycieraczki tyl;15;10;104;20
869129330;ZAWIESZONE;1067462;WRO-PRIM-82;2026-03-23;Pioro wycieraczki tyl;15;5;104;20
682570971;PRZEKIEROWANE;2614485;PAR-40@;2026-03-23;Filtr paliwa;28;28;11;10
707587342;ZAFAKTUROWANE;2614485;PAR-40@;2026-03-23;Plyn hamulcowy;26;26;11;10
843036227;PRZYDZIELONE;2614485;PAR-40@;2026-03-23;Alternator;5;2;11;10
843036227;PRZYDZIELONE;2614485;PAR-40@;2026-03-23;Alternator;5;3;11;10
295320485;WSTRZYMANE;4039789;VCA-77@;2026-03-23;Amortyzator tyl;26;26;126;20
602774446;ZAFAKTUROWANE;4126142;SOS-36@;2026-03-23;Wlacznik swiatel;13;13;138;10
994851203;ZAWIESZONE;4126142;SOS-36@;2026-03-23;Kierownica;9;9;138;10
430757414;PRZEKIEROWANE;4126142;SOS-36@;2026-03-23;Wahacz poprzeczny;16;11;138;10
430757414;PRZEKIEROWANE;4126142;SOS-36@;2026-03-23;Wahacz poprzeczny;16;5;138;10
830085810;ZAFAKTUROWANE;1170865;PAR-14@;2026-03-23;Sworzen wahacza;24;24;11;10
284612384;NIEZREALIZOWANE;1170865;PAR-14@;2026-03-23;Silniczek krokowy;15;10;11;10
284612384;NIEZREALIZOWANE;1170865;PAR-14@;2026-03-23;Silniczek krokowy;15;5;11;10
602774446;PRZYDZIELONE;1170865;PAR-14@;2026-03-23;Wlacznik swiatel;23;1;11;10
602774446;PRZYDZIELONE;1170865;PAR-14@;2026-03-23;Wlacznik swiatel;23;22;11;10
866277851;PRZEKIEROWANE;1170865;PAR-14@;2026-03-23;Guma stabilizatora;10;10;11;10
994688970;WSTRZYMANE;2415040;POZ-52@;2026-03-23;Klamka zewnetrzna;7;7;1;10
710036086;PRZEKIEROWANE;6864637;ASO-PRIM-22;2026-03-23;Wal napedowy;5;5;2;10
91979690;NIEZREALIZOWANE;6864637;ASO-PRIM-22;2026-03-23;Szyba boczna;3;3;2;10
234770738;NIEZREALIZOWANE;6864637;ASO-PRIM-22;2026-03-23;Wal napedowy;19;11;2;10
234770738;NIEZREALIZOWANE;6864637;ASO-PRIM-22;2026-03-23;Wal napedowy;19;8;2;10
502574736;WSTRZYMANE;4872291;WRO-64@;2026-03-23;Silniczek krokowy;29;29;104;20
493313705;WYSLANE;4872291;WRO-64@;2026-03-23;Wlacznik swiatel;21;12;104;20
493313705;WYSLANE;4872291;WRO-64@;2026-03-23;Wlacznik swiatel;21;9;104;20
26865092;WYSLANE;4872291;WRO-64@;2026-03-23;Podnosnik szyby;7;7;104;20
284612384;WSTRZYMANE;4872291;WRO-64@;2026-03-23;Silniczek krokowy;15;12;104;20
284612384;WSTRZYMANE;4872291;WRO-64@;2026-03-23;Silniczek krokowy;15;3;104;20
60072915;WYSLANE;9590067;WRO-730Y;2026-03-23;Wal napedowy;22;7;104;10
60072915;WYSLANE;9590067;WRO-730Y;2026-03-23;Wal napedowy;22;15;104;10
76238245;NIEZREALIZOWANE;3607361;ASO-37MOT;2026-03-23;Lampa tylna prawa;22;22;2;10
409770584;PRZEKIEROWANE;3607361;ASO-37MOT;2026-03-23;Zderzak tylny;10;10;2;10
903745581;ZAWIESZONE;6005919;WRO-PRIM-62;2026-03-23;Drzwi przednie lewe;1;1;104;20
703781909;NIEZREALIZOWANE;6005919;WRO-PRIM-62;2026-03-23;Modul zaplonowy;29;29;104;20
282821832;PRZEKIEROWANE;6118894;INT-POZ;2026-03-23;Czujnik polozenia walu;13;13;1;20
282126655;ZAWIESZONE;6118894;INT-POZ;2026-03-23;Zamek drzwi;4;4;1;20
401496939;PRZYDZIELONE;6387182;WRO-87@;2026-03-23;Fotel kierowcy;2;2;104;10
