P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
114267751;WYSLANE;8549402;VCA-PRIM-53;2026-03-16;Pioro wycieraczki tyl;7;7;126;10
3494630;NIEZREALIZOWANE;8549402;VCA-PRIM-53;2026-03-16;Szyba czolowa;16;16;126;10
980482440;WSTRZYMANE;8549402;VCA-PRIM-53;2026-03-16;Swieca zaplonowa;9;9;126;10
385461171;PRZEKIEROWANE;8627938;PAR-PRIM-85;2026-03-16;Olej przekladniowy;12;12;11;20
264824270;ZAWIESZONE;8627938;PAR-PRIM-85;2026-03-16;Zamek drzwi;20;20;11;20
71079472;WSTRZYMANE;8627938;PAR-PRIM-85;2026-03-16;Polos napedowa;8;8;11;20
925223847;PRZYDZIELONE;8627938;PAR-PRIM-85;2026-03-16;Kolektor ssacy;23;23;11;20
58175865;NIEZREALIZOWANE;3105636;POZ-PRIM-73;2026-03-16;Lusterko zewnetrzne prawe;22;22;1;10
682570971;WSTRZYMANE;3105636;POZ-PRIM-73;2026-03-16;Filtr paliwa;16;16;1;10
337892805;NIEZREALIZOWANE;3105636;POZ-PRIM-73;2026-03-16;Polos napedowa;24;4;1;10
337892805;NIEZREALIZOWANE;3105636;POZ-PRIM-73;2026-03-16;Polos napedowa;24;20;1;10
101291557;ZAFAKTUROWANE;3105636;POZ-PRIM-73;2026-03-16;Przepustnica;6;5;1;10
101291557;ZAFAKTUROWANE;3105636;POZ-PRIM-73;2026-03-16;Przepustnica;6;1;1;10
496358124;NIEZREALIZOWANE;9729987;ASO-IC-38;2026-03-16;Zacisk hamulcowy przod;30;30;2;10
58175865;ZAWIESZONE;9729987;ASO-IC-38;2026-03-16;Lusterko zewnetrzne prawe;4;4;2;10
406929288;PRZEKIEROWANE;9729987;ASO-IC-38;2026-03-16;Silnik kompletny;2;2;2;10
255565531;NIEZREALIZOWANE;9729987;ASO-IC-38;2026-03-16;Wahacz wzdluzny;4;2;2;10
255565531;NIEZREALIZOWANE;9729987;ASO-IC-38;2026-03-16;Wahacz wzdluzny;4;2;2;10
385461171;NIEZREALIZOWANE;2454986;ASO-55@;2026-03-16;Olej przekladniowy;30;30;2;10
924876553;ZAWIESZONE;2454986;ASO-55@;2026-03-16;Plyn chlodniczy;21;21;2;10
142078763;NIEZREALIZOWANE;5040594;VCA-57@;2026-03-16;Szyba czolowa;8;8;126;10
74326370;WSTRZYMANE;5040594;VCA-57@;2026-03-16;Fotel kierowcy;2;2;126;10
173471957;ZAFAKTUROWANE;5040594;VCA-57@;2026-03-16;Przekaznik pompy;24;18;126;10
173471957;ZAFAKTUROWANE;5040594;VCA-57@;2026-03-16;Przekaznik pompy;24;6;126;10
701652483;WYSLANE;5040594;VCA-57@;2026-03-16;Drzwi przednie prawe;25;25;126;10
765533129;ZAWIESZONE;5714350;PAR-42@;2026-03-16;Guma stabilizatora;25;25;11;10
268237631;PRZEKIEROWANE;5714350;PAR-42@;2026-03-16;Pioro wycieraczki tyl;1;1;11;10
733963718;ZAFAKTUROWANE;5714350;PAR-42@;2026-03-16;Drzwi przednie prawe;25;25;11;10
903745581;PRZEKIEROWANE;5714350;PAR-42@;2026-03-16;Drzwi przednie lewe;6;6;11;10
430623729;PRZYDZIELONE;1564060;PAR-PRIM-60;2026-03-16;Chlodnica klimatyzacji;23;10;11;10
430623729;PRZYDZIELONE;1564060;PAR-PRIM-60;2026-03-16;Chlodnica klimatyzacji;23;13;11;10
224966459;PRZEKIEROWANE;2669848;VCA-74MOT;2026-03-16;Lusterko zewnetrzne lewe;2;2;126;20
257119965;PRZEKIEROWANE;2669848;VCA-74MOT;2026-03-16;Miska olejowa;29;29;126;20
850498739;PRZEKIEROWANE;7788154;SOS-PRIM-81;2026-03-16;Reflektor lewy LED;4;4;138;20
388312652;NIEZREALIZOWANE;7788154;SOS-PRIM-81;2026-03-16;Swieca zarowa;17;17;138;20
76677861;NIEZREALIZOWANE;7788154;SOS-PRIM-81;2026-03-16;Blotnik lewy;11;11;138;20
986234887;WSTRZYMANE;7788154;SOS-PRIM-81;2026-03-16;Silnik kompletny;16;16;138;20
