P.N.;Status;Order Number;Customer order number;Order date;PN Desc;Ordered quantity;Split quantity;ISPE;Ord. Type
397488786;WYSLANE;5500248;MAG-23@;2026-02-09;Lozysko kola;25;1;150;10
397488786;WYSLANE;5500248;MAG-23@;2026-02-09;Lozysko kola;25;24;150;10
571998889;WYSLANE;5500248;MAG-23@;2026-02-09;Kanapa tylna;11;11;150;10
997423271;PRZYDZIELONE;4266406;MAG-791Y;2026-02-09;Przekaznik pompy;1;1;150;10
475818013;ZAFAKTUROWANE;6326840;POZ-41@;2026-02-09;Filtr oleju;30;30;1;10
337892805;ZAWIESZONE;6326840;POZ-41@;2026-02-09;Polos napedowa;7;7;1;10
521838280;WSTRZYMANE;6326840;POZ-41@;2026-02-09;Filtr kabinowy;11;11;1;10
213589170;WYSLANE;1520374;POZ-PRIM-81;2026-02-09;Sonda lambda;3;1;1;10
213589170;WYSLANE;1520374;POZ-PRIM-81;2026-02-09;Sonda lambda;3;2;1;10
765533129;PRZYDZIELONE;1520374;POZ-PRIM-81;2026-02-09;Guma stabilizatora;30;30;1;10
924876553;ZAWIESZONE;7786847;MAG-94@;2026-02-09;Plyn chlodniczy;24;24;150;10
74326370;NIEZREALIZOWANE;7786847;MAG-94@;2026-02-09;Fotel kierowcy;29;29;150;10
428863029;WYSLANE;7786847;MAG-94@;2026-02-09;Pompa hamulcowa;15;15;150;10
590917304;ZAWIESZONE;1455046;VCA-41@;2026-02-09;Przepustnica;5;5;126;10
707587342;PRZEKIEROWANE;1455046;VCA-41@;2026-02-09;Plyn hamulcowy;7;7;126;10
475818013;PRZEKIEROWANE;1455046;VCA-41@;2026-02-09;Filtr oleju;4;3;126;10
475818013;PRZEKIEROWANE;1455046;VCA-41@;2026-02-09;Filtr oleju;4;1;126;10
677651645;PRZEKIEROWANE;1455046;VCA-41@;2026-02-09;Miska olejowa;18;18;126;10
947461608;WSTRZYMANE;9599412;ASO-333Y;2026-02-09;Swieca zarowa;7;7;2;10
943530428;WSTRZYMANE;8135215;SOS-PRIM-62;2026-02-09;Filtr paliwa;21;21;138;10
950044367;PRZYDZIELONE;8135215;SOS-PRIM-62;2026-02-09;Wlacznik swiatel;5;5;138;10
765533129;PRZYDZIELONE;1928161;VCA-PRIM-43;2026-02-09;Guma stabilizatora;7;7;126;10
710036086;PRZYDZIELONE;1928161;VCA-PRIM-43;2026-02-09;Wal napedowy;9;9;126;10
114267751;WYSLANE;1928161;VCA-PRIM-43;2026-02-09;Pioro wycieraczki tyl;2;2;126;10
941002571;PRZYDZIELONE;1928161;VCA-PRIM-43;2026-02-09;Halogen przeciwmgielny;17;17;126;10
428863029;NIEZREALIZOWANE;6247713;WRO-17@;2026-02-09;Pompa hamulcowa;16;4;104;10
428863029;NIEZREALIZOWANE;6247713;WRO-17@;2026-02-09;Pompa hamulcowa;16;12;104;10
213589170;WSTRZYMANE;6247713;WRO-17@;2026-02-09;Sonda lambda;27;27;104;10
950044367;ZAFAKTUROWANE;6247713;WRO-17@;2026-02-09;Wlacznik swiatel;18;18;104;10
15856122;WYSLANE;6247713;WRO-17@;2026-02-09;Pompa paliwa;7;4;104;10
15856122;WYSLANE;6247713;WRO-17@;2026-02-09;Pompa paliwa;7;3;104;10
385461171;NIEZREALIZOWANE;4420424;WRO-52@;2026-02-09;Olej przekladniowy;26;26;104;20
282821832;NIEZREALIZOWANE;9808667;WRO-27@;2026-02-09;Czujnik polozenia walu;27;27;104;10
166954844;WSTRZYMANE;9808667;WRO-27@;2026-02-09;Polos napedowa;21;21;104;10
230045022;WYSLANE;9808667;WRO-27@;2026-02-09;Przekaznik pompy;4;3;104;10
230045022;WYSLANE;9808667;WRO-27@;2026-02-09;Przekaznik pompy;4;1;104;10
747969430;NIEZREALIZOWANE;9808667;WRO-27@;2026-02-09;Szyba boczna;20;20;104;10
697811251;WYSLANE;3208436;PAR-25@;2026-02-09;Serwo hamulcowe;11;8;11;10
697811251;WYSLANE;3208436;PAR-25@;2026-02-09;Serwo hamulcowe;11;3;11;10
502574736;ZAFAKTUROWANE;2961905;SOS-642X;2026-02-09;Silniczek krokowy;28;28;138;10
